img_path,x,y,class,depth
training/204421859195625800_1080_000_1100_000-0-0.png,1912,528,0,32.9
training/204421859195625800_1080_000_1100_000-0-0.png,1912,520,0,33.2
training/204421859195625800_1080_000_1100_000-0-0.png,1912,552,0,32.3
training/204421859195625800_1080_000_1100_000-0-0.png,1912,544,0,32.3
training/204421859195625800_1080_000_1100_000-0-0.png,1912,544,0,32.4
training/204421859195625800_1080_000_1100_000-0-0.png,1912,560,0,32.3
training/204421859195625800_1080_000_1100_000-0-0.png,1912,552,0,32.4
training/204421859195625800_1080_000_1100_000-0-0.png,1912,544,0,32.4
training/204421859195625800_1080_000_1100_000-0-0.png,1912,544,0,32.6
training/204421859195625800_1080_000_1100_000-0-0.png,1912,536,0,32.8
training/204421859195625800_1080_000_1100_000-0-0.png,1912,528,0,33.2
training/204421859195625800_1080_000_1100_000-0-0.png,1912,520,0,33.4
training/204421859195625800_1080_000_1100_000-0-0.png,1904,576,0,32.2
training/204421859195625800_1080_000_1100_000-0-0.png,1912,568,0,32.2
training/204421859195625800_1080_000_1100_000-0-0.png,1912,560,0,32.3
training/204421859195625800_1080_000_1100_000-0-0.png,1904,552,0,32.4
training/204421859195625800_1080_000_1100_000-0-0.png,1904,552,0,32.7
training/204421859195625800_1080_000_1100_000-0-0.png,1904,544,0,32.9
training/204421859195625800_1080_000_1100_000-0-0.png,1912,536,0,33.0
training/204421859195625800_1080_000_1100_000-0-0.png,1904,528,0,33.3
training/204421859195625800_1080_000_1100_000-0-0.png,1904,520,0,33.6
training/204421859195625800_1080_000_1100_000-0-0.png,1896,552,0,32.6
training/204421859195625800_1080_000_1100_000-0-0.png,1904,552,0,32.8
training/204421859195625800_1080_000_1100_000-0-0.png,1904,544,0,33.0
training/204421859195625800_1080_000_1100_000-0-0.png,1904,536,0,33.1
training/204421859195625800_1080_000_1100_000-0-0.png,1904,528,0,33.6
training/204421859195625800_1080_000_1100_000-0-0.png,1904,520,0,33.7
training/204421859195625800_1080_000_1100_000-0-0.png,1904,576,0,32.2
training/204421859195625800_1080_000_1100_000-0-0.png,1904,568,0,32.2
training/204421859195625800_1080_000_1100_000-0-0.png,1904,560,0,32.3
training/204421859195625800_1080_000_1100_000-0-0.png,1896,528,0,33.7
training/204421859195625800_1080_000_1100_000-0-0.png,1896,520,0,33.9
training/204421859195625800_1080_000_1100_000-0-0.png,1896,568,0,32.3
training/204421859195625800_1080_000_1100_000-0-0.png,1896,560,0,32.4
training/204421859195625800_1080_000_1100_000-0-0.png,1896,552,0,32.9
training/204421859195625800_1080_000_1100_000-0-0.png,1896,552,0,33.0
training/204421859195625800_1080_000_1100_000-0-0.png,1896,544,0,33.2
training/204421859195625800_1080_000_1100_000-0-0.png,1896,536,0,33.4
training/204421859195625800_1080_000_1100_000-0-0.png,1888,576,0,32.4
training/204421859195625800_1080_000_1100_000-0-0.png,1888,568,0,32.5
training/204421859195625800_1080_000_1100_000-0-0.png,1896,560,0,32.6
training/204421859195625800_1080_000_1100_000-0-0.png,1888,552,0,32.9
training/204421859195625800_1080_000_1100_000-0-0.png,1888,552,0,33.2
training/204421859195625800_1080_000_1100_000-0-0.png,1888,544,0,33.3
training/204421859195625800_1080_000_1100_000-0-0.png,1896,536,0,33.5
training/204421859195625800_1080_000_1100_000-0-0.png,1888,528,0,33.9
training/204421859195625800_1080_000_1100_000-0-0.png,1888,520,0,34.1
training/204421859195625800_1080_000_1100_000-0-0.png,1888,568,0,32.6
training/204421859195625800_1080_000_1100_000-0-0.png,1888,560,0,32.8
training/204421859195625800_1080_000_1100_000-0-0.png,1880,552,0,33.1
training/204421859195625800_1080_000_1100_000-0-0.png,1880,552,0,33.4
training/204421859195625800_1080_000_1100_000-0-0.png,1888,544,0,33.5
training/204421859195625800_1080_000_1100_000-0-0.png,1888,536,0,33.7
training/204421859195625800_1080_000_1100_000-0-0.png,1888,528,0,34.1
training/204421859195625800_1080_000_1100_000-0-0.png,1888,520,0,34.3
training/204421859195625800_1080_000_1100_000-0-0.png,1880,552,0,33.3
training/204421859195625800_1080_000_1100_000-0-0.png,1880,552,0,33.5
training/204421859195625800_1080_000_1100_000-0-0.png,1880,544,0,33.8
training/204421859195625800_1080_000_1100_000-0-0.png,1880,536,0,33.8
training/204421859195625800_1080_000_1100_000-0-0.png,1880,528,0,34.3
training/204421859195625800_1080_000_1100_000-0-0.png,1880,520,0,34.5
training/204421859195625800_1080_000_1100_000-0-0.png,1880,568,0,32.8
training/204421859195625800_1080_000_1100_000-0-0.png,1880,560,0,32.9
training/204421859195625800_1080_000_1100_000-0-0.png,1872,528,0,34.5
training/204421859195625800_1080_000_1100_000-0-0.png,1872,520,0,34.7
training/204421859195625800_1080_000_1100_000-0-0.png,1872,568,0,32.9
training/204421859195625800_1080_000_1100_000-0-0.png,1872,560,0,33.1
training/204421859195625800_1080_000_1100_000-0-0.png,1872,552,0,33.5
